"","pidp","birthy","sex","ypnpal","yppals","year","age","ypfpark","ypmkfrn","yppalo","ypsdqk"
"196",139282365,1981,1,8,2,1994,13,NA,NA,NA,NA
"197",1269571,1979,2,6,2,1994,15,NA,NA,NA,NA
"198",1284531,1979,1,6,4,1994,15,NA,NA,NA,NA
"199",136303289,1979,2,4,2,1994,15,NA,NA,NA,NA
"200",138998193,1980,1,10,3,1994,14,NA,NA,NA,NA
"201",1312415,1981,1,4,3,1994,13,NA,NA,NA,NA
"202",299885,1980,1,12,4,1994,14,NA,NA,NA,NA
"203",818603729,1983,1,10,2,1994,11,NA,NA,NA,NA
"204",819865129,1982,2,1,1,1994,12,NA,NA,NA,NA
"205",547441485,1981,2,1,3,1994,13,NA,NA,NA,NA
"206",544307369,1979,2,5,1,1994,15,NA,NA,NA,NA
"207",1345063,1981,1,2,1,1994,13,NA,NA,NA,NA
"208",612308737,1979,1,10,3,1994,15,NA,NA,NA,NA
"209",1356611,1980,1,15,4,1994,14,NA,NA,NA,NA
"210",1357295,1982,1,8,2,1994,12,NA,NA,NA,NA
"211",682237893,1983,2,3,2,1994,11,NA,NA,NA,NA
"212",1360695,1982,2,5,1,1994,12,NA,NA,NA,NA
"213",1366819,1983,1,15,1,1994,11,NA,NA,NA,NA
"214",1373619,1982,1,3,2,1994,12,NA,NA,NA,NA
"215",1374979,1980,2,3,3,1994,14,NA,NA,NA,NA
"216",547659765,1979,1,6,3,1994,15,NA,NA,NA,NA
"217",547238165,1980,2,5,3,1994,14,NA,NA,NA,NA
"218",748327833,1980,1,7,3,1994,14,NA,NA,NA,NA
"219",750682605,1983,2,15,4,1994,11,NA,NA,NA,NA
"220",1412379,1979,2,3,1,1994,15,NA,NA,NA,NA
"221",683227965,1981,2,4,2,1994,13,NA,NA,NA,NA
"222",1474263,1979,2,7,1,1994,15,NA,NA,NA,NA
"223",207833845,1982,2,5,2,1994,12,NA,NA,NA,NA
"224",207615565,1982,1,2,2,1994,12,NA,NA,NA,NA
"225",1496703,1983,1,20,2,1994,11,NA,NA,NA,NA
"226",1496019,1981,1,4,2,1994,13,NA,NA,NA,NA
"227",1495335,1979,1,13,3,1994,15,NA,NA,NA,NA
"228",410904965,1979,2,5,4,1994,15,NA,NA,NA,NA
"229",547650925,1980,1,2,3,1994,14,NA,NA,NA,NA
"230",547233421,1982,2,3,3,1994,12,NA,NA,NA,NA
"231",1528659,1981,1,5,3,1994,13,NA,NA,NA,NA
"232",1530019,1979,2,5,2,1994,15,NA,NA,NA,NA
"233",615691045,1983,2,2,2,1994,11,NA,NA,NA,NA
"234",615611485,1982,1,3,2,1994,12,NA,NA,NA,NA
"235",614900205,1980,1,7,3,1994,14,NA,NA,NA,NA
"236",1533415,1981,2,5,2,1994,13,NA,NA,NA,NA
"237",615009005,1980,1,1,1,1994,14,NA,NA,NA,NA
"238",1545667,1982,1,0,2,1994,12,NA,NA,NA,NA
"239",1547011,1982,1,3,1,1994,12,NA,NA,NA,NA
"240",748363193,1983,2,3,2,1994,11,NA,NA,NA,NA
"241",411296645,1981,2,10,4,1994,13,NA,NA,NA,NA
"242",1553139,1980,1,5,2,1994,14,NA,NA,NA,NA
"243",818923325,1981,1,6,2,1994,13,NA,NA,NA,NA
"244",1599379,1979,2,5,3,1994,15,NA,NA,NA,NA
"245",139329965,1983,2,10,4,1994,11,NA,NA,NA,NA
"246",136379453,1982,1,6,2,1994,12,NA,NA,NA,NA
"247",683514245,1980,1,6,2,1994,14,NA,NA,NA,NA
"248",1658535,1983,2,3,2,1994,11,NA,NA,NA,NA
"249",1663975,1980,2,13,2,1994,14,NA,NA,NA,NA
"250",207629845,1983,2,7,1,1994,11,NA,NA,NA,NA
"251",5038815,1978,1,10,2,1994,16,NA,NA,NA,NA
"252",5039499,1981,1,4,1,1994,13,NA,NA,NA,NA
"253",1680983,1981,2,5,2,1994,13,NA,NA,NA,NA
"254",547060685,1980,2,3,2,1994,14,NA,NA,NA,NA
"255",1685739,1982,2,3,2,1994,12,NA,NA,NA,NA
"256",1709543,1979,2,3,2,1994,15,NA,NA,NA,NA
"257",547482965,1981,1,3,2,1994,13,NA,NA,NA,NA
"258",1741499,1979,1,4,2,1994,15,NA,NA,NA,NA
"259",816416913,1980,2,6,2,1994,14,NA,NA,NA,NA
"260",819731165,1983,2,0,1,1994,11,NA,NA,NA,NA
"261",819442845,1980,2,5,2,1994,14,NA,NA,NA,NA
"262",1751695,1982,2,1,1,1994,12,NA,NA,NA,NA
"263",1776855,1981,1,6,3,1994,13,NA,NA,NA,NA
"264",408425009,1982,1,4,1,1994,12,NA,NA,NA,NA
"265",411309633,1983,1,4,2,1994,11,NA,NA,NA,NA
"266",275661805,1981,2,5,1,1994,13,NA,NA,NA,NA
"267",275687645,1981,2,5,1,1994,13,NA,NA,NA,NA
"268",1818335,1983,1,10,3,1994,11,NA,NA,NA,NA
"269",274925433,1979,2,7,4,1994,15,NA,NA,NA,NA
"270",71837993,1979,1,15,1,1994,15,NA,NA,NA,NA
"271",1840775,1983,2,0,2,1994,11,NA,NA,NA,NA
"272",1840091,1982,1,5,3,1994,12,NA,NA,NA,NA
"273",682828125,1978,1,15,2,1994,16,NA,NA,NA,NA
"274",1855735,1981,2,5,2,1994,13,NA,NA,NA,NA
"275",682908365,1982,1,3,1,1994,12,NA,NA,NA,NA
"276",71614885,1981,1,3,2,1994,13,NA,NA,NA,NA
"277",1867295,1982,2,5,2,1994,12,NA,NA,NA,NA
"278",1874779,1980,2,4,1,1994,14,NA,NA,NA,NA
"279",204453573,1983,2,6,2,1994,11,NA,NA,NA,NA
"280",275079045,1980,1,7,4,1994,14,NA,NA,NA,NA
"281",275541445,1983,1,20,2,1994,11,NA,NA,NA,NA
"282",275689685,1979,1,3,1,1994,15,NA,NA,NA,NA
"283",275387765,1982,2,4,2,1994,12,NA,NA,NA,NA
"284",1948219,1983,1,2,4,1994,11,NA,NA,NA,NA
"285",479990245,1980,1,5,4,1994,14,NA,NA,NA,NA
"286",275306165,1983,1,50,4,1994,11,NA,NA,NA,NA
"287",818916525,1982,2,5,2,1994,12,NA,NA,NA,NA
"288",340477373,1981,1,12,3,1994,13,NA,NA,NA,NA
"289",343742725,1980,1,5,3,1994,14,NA,NA,NA,NA
"290",343359205,1980,1,5,2,1994,14,NA,NA,NA,NA
"291",343654325,1982,2,2,3,1994,12,NA,NA,NA,NA
"292",343629165,1980,2,6,2,1994,14,NA,NA,NA,NA
"293",478037969,1983,1,10,3,1994,11,NA,NA,NA,NA
"294",478862805,1979,2,5,2,1994,15,NA,NA,NA,NA
"295",1987655,1979,2,8,2,1994,15,NA,NA,NA,NA
"296",1991731,1979,1,2,4,1994,15,NA,NA,NA,NA
"297",1993099,1983,1,4,4,1994,11,NA,NA,NA,NA
"298",1992415,1981,1,3,4,1994,13,NA,NA,NA,NA
"299",1994459,1980,2,5,2,1994,14,NA,NA,NA,NA
"300",479348325,1979,1,2,3,1994,15,NA,NA,NA,NA
"301",477765285,1979,2,5,1,1994,15,NA,NA,NA,NA
"302",2007375,1982,1,30,1,1994,12,NA,NA,NA,NA
"303",547737965,1979,2,2,2,1994,15,NA,NA,NA,NA
"304",544491033,1983,1,5,2,1994,11,NA,NA,NA,NA
"305",2025739,1981,2,2,4,1994,13,NA,NA,NA,NA
"306",206939645,1979,1,NA,3,1994,15,NA,NA,NA,NA
"307",615239525,1981,1,3,2,1994,13,NA,NA,NA,NA
"308",207172205,1980,2,5,1,1994,14,NA,NA,NA,NA
"309",2054975,1982,2,NA,4,1994,12,NA,NA,NA,NA
"310",2059055,1979,2,10,4,1994,15,NA,NA,NA,NA
"311",2059739,1983,1,5,3,1994,11,NA,NA,NA,NA
"312",615864445,1983,2,2,3,1994,11,NA,NA,NA,NA
"313",2077419,1982,2,3,1,1994,12,NA,NA,NA,NA
"314",2076735,1980,1,2,1,1994,14,NA,NA,NA,NA
"315",615801205,1981,2,4,2,1994,13,NA,NA,NA,NA
"316",2091699,1981,1,17,4,1994,13,NA,NA,NA,NA
"317",2091015,1979,2,7,4,1994,15,NA,NA,NA,NA
"318",819457805,1979,2,3,2,1994,15,NA,NA,NA,NA
"319",2099179,1980,1,3,4,1994,14,NA,NA,NA,NA
"320",818144725,1983,1,1,1,1994,11,NA,NA,NA,NA
"321",2105975,1981,2,5,2,1994,13,NA,NA,NA,NA
"322",748516137,1978,2,8,4,1994,16,NA,NA,NA,NA
"323",2140663,1979,1,4,2,1994,15,NA,NA,NA,NA
"324",205916925,1979,1,9,2,1994,15,NA,NA,NA,NA
"325",680526333,1979,1,8,2,1994,15,NA,NA,NA,NA
"326",683433325,1979,1,16,2,1994,15,NA,NA,NA,NA
"327",683089245,1979,2,0,1,1994,15,NA,NA,NA,NA
"328",683088565,1982,1,3,1,1994,12,NA,NA,NA,NA
"329",273680969,1983,2,12,1,1994,11,NA,NA,NA,NA
"330",2173979,1979,1,10,1,1994,15,NA,NA,NA,NA
"331",2174663,1983,1,2,3,1994,11,NA,NA,NA,NA
"332",2197111,1980,1,10,2,1994,14,NA,NA,NA,NA
"333",138658125,1982,2,2,1,1994,12,NA,NA,NA,NA
"334",138827445,1980,2,4,2,1994,14,NA,NA,NA,NA
"335",819764485,1983,1,3,1,1994,11,NA,NA,NA,NA
"336",816547413,1983,1,6,1,1994,11,NA,NA,NA,NA
"337",343550285,1980,2,2,1,1994,14,NA,NA,NA,NA
"338",204552173,1979,1,5,2,1994,15,NA,NA,NA,NA
"339",751314325,1980,1,16,2,1994,14,NA,NA,NA,NA
"340",750339205,1981,2,5,4,1994,13,NA,NA,NA,NA
"341",2276659,1979,2,2,1,1994,15,NA,NA,NA,NA
"342",748556929,1979,1,15,4,1994,15,NA,NA,NA,NA
"343",751073605,1980,1,0,1,1994,14,NA,NA,NA,NA
"344",2287535,1981,1,4,1,1994,13,NA,NA,NA,NA
"345",748558973,1982,1,1,4,1994,12,NA,NA,NA,NA
"346",748562377,1979,1,11,3,1994,15,NA,NA,NA,NA
"347",751417685,1981,2,7,2,1994,13,NA,NA,NA,NA
"348",138826765,1979,2,6,2,1994,15,NA,NA,NA,NA
"349",136563053,1982,1,2,3,1994,12,NA,NA,NA,NA
"350",748563737,1983,2,7,2,1994,11,NA,NA,NA,NA
"351",136564417,1983,2,10,1,1994,11,NA,NA,NA,NA
"352",136564413,1982,1,5,1,1994,12,NA,NA,NA,NA
"353",411227285,1981,2,7,2,1994,13,NA,NA,NA,NA
"354",71047085,1980,1,4,1,1994,14,NA,NA,NA,NA
"355",207999765,1982,1,11,4,1994,12,NA,NA,NA,NA
"356",2358259,1979,2,4,4,1994,15,NA,NA,NA,NA
"357",2377975,1980,1,4,2,1994,14,NA,NA,NA,NA
"358",2382735,1979,1,3,2,1994,15,NA,NA,NA,NA
"359",2387495,1982,1,5,3,1994,12,NA,NA,NA,NA
"360",2415375,1981,1,1,1,1994,13,NA,NA,NA,NA
"361",683788965,1982,2,2,1,1994,12,NA,NA,NA,NA
"362",2455495,1983,2,7,2,1994,11,NA,NA,NA,NA
"363",342125009,1982,1,3,3,1994,12,NA,NA,NA,NA
"364",205741489,1981,2,4,2,1994,13,NA,NA,NA,NA
